,Date,Visit,Home,V_Odd,H_Odd,OU,Score
0,20/12/22,GS,BKN,265,-320,234.5,99-125
1,20/12/22,LAC,LAL,115,-135,219.0,116-109
2,20/12/23,CHA,CLE,-140,120,217.0,114-121
3,20/12/23,NY,IND,270,-330,215.5,107-121
4,20/12/23,MIA,ORL,-190,170,219.0,107-113
5,20/12/23,WAS,PHI,250,-300,230.5,107-113
6,20/12/23,MIL,BOS,-190,170,223.0,121-122
7,20/12/23,NO,TOR,150,-170,228.5,113-99
8,20/12/23,ATL,CHI,-130,110,234.0,124-104
9,20/12/23,SA,MEM,110,-130,230.0,131-119
10,20/12/23,DET,MIN,190,-220,224.5,101-111
11,20/12/23,SAC,DEN,260,-310,227.5,124-122
12,20/12/23,UTA,POR,-130,110,226.0,120-100
13,20/12/23,DAL,PHO,100,-120,232.5,102-106
14,20/12/25,NO,MIA,130,-150,221.0,98-111
15,20/12/25,GS,MIL,450,-600,230.5,99-138
16,20/12/25,BKN,BOS,-145,125,229.5,123-95
17,20/12/25,DAL,LAL,225,-265,226.0,115-138
18,20/12/25,LAC,DEN,-160,140,226.5,121-108
19,20/12/26,ATL,MEM,120,-140,238.5,122-112
20,20/12/26,CLE,DET,-110,-110,214.0,128-119
21,20/12/26,ORL,WAS,110,-130,232.0,130-120
22,20/12/26,OKC,CHA,125,-145,219.5,109-107
23,20/12/26,PHI,NY,-360,300,215.0,109-89
24,20/12/26,IND,CHI,-240,200,223.5,125-106
25,20/12/26,TOR,SA,-145,125,228.5,114-119
26,20/12/26,MIN,UTA,375,-450,229.0,116-111
27,20/12/26,PHO,SAC,-160,140,227.0,103-106
28,20/12/26,HOU,POR,300,-360,225.5,126-128
29,20/12/27,DAL,LAC,140,-160,226.5,124-73
30,20/12/27,SA,NO,170,-190,227.5,95-98
31,20/12/27,ORL,WAS,-130,110,231.0,120-113
32,20/12/27,BKN,CHA,-600,450,233.0,104-106
33,20/12/27,PHI,CLE,-240,200,218.0,94-118
34,20/12/27,MIL,NY,-1200,750,222.0,110-130
35,20/12/27,BOS,IND,-135,115,220.5,107-108
