,Date,Visit,Home,V_Odd,H_Odd,OU,Score
0,18/10/16,PHI,BOS,170,-200,211.5,87-105
1,18/10/16,OKC,GS,711,-1100,220.5,100-108
2,18/10/17,MEM,IND,263,-325,204.5,83-111
3,18/10/17,MIL,CHA,-165,144,222.0,113-112
4,18/10/17,MIA,ORL,-135,115,208.0,101-104
5,18/10/17,BKN,DET,211,-255,213.0,100-103
6,18/10/17,ATL,NY,148,-170,216.5,107-126
7,18/10/17,CLE,TOR,797,-1300,215.5,104-116
8,18/10/17,NO,HOU,278,-345,233.0,131-112
9,18/10/17,MIN,SA,125,-145,212.0,108-112
10,18/10/17,UTA,SAC,-400,317,205.5,123-117
11,18/10/17,DAL,PHO,-130,110,212.5,100-121
12,18/10/17,DEN,LAC,-125,105,222.5,107-98
13,18/10/18,CHI,PHI,733,-1150,221.0,108-127
14,18/10/18,MIA,WAS,215,-260,215.0,113-112
15,18/10/18,LAL,POR,135,-155,224.0,119-128
16,18/10/19,CHA,ORL,-125,105,215.5,120-88
17,18/10/19,NY,BKN,148,-170,222.0,105-107
18,18/10/19,SAC,NO,664,-1000,232.5,129-149
19,18/10/19,BOS,TOR,135,-155,209.5,101-113
20,18/10/19,CLE,MIN,334,-425,223.0,123-131
21,18/10/19,ATL,MEM,237,-290,217.0,117-131
22,18/10/19,IND,MIL,144,-165,217.0,101-118
23,18/10/19,GS,UTA,-135,115,217.5,124-123
24,18/10/19,OKC,LAC,130,-150,214.0,92-108
25,18/10/20,TOR,WAS,110,-130,219.5,117-113
26,18/10/20,BKN,IND,303,-380,214.5,112-132
27,18/10/20,ORL,PHI,797,-1300,217.5,115-116
28,18/10/20,BOS,NY,-500,384,210.5,103-101
29,18/10/20,CHA,MIA,135,-155,220.5,113-112
30,18/10/20,DET,CHI,-200,170,217.0,118-116
31,18/10/20,MIN,DAL,110,-130,220.5,136-140
32,18/10/20,PHO,DEN,459,-620,224.5,91-119
33,18/10/20,SA,POR,172,-205,214.0,108-121
34,18/10/20,HOU,LAL,-160,140,237.5,124-115
35,18/10/21,ATL,CLE,303,-380,232.5,133-111
36,18/10/21,SAC,OKC,477,-650,222.5,131-120
37,18/10/21,GS,DEN,-189,163,230.5,98-100
38,18/10/21,HOU,LAC,115,-135,220.5,112-115
39,18/10/22,CHA,TOR,317,-400,225.0,106-127
40,18/10/22,ORL,BOS,611,-894,211.5,93-90
41,18/10/22,IND,MIN,110,-130,229.5,91-101
42,18/10/22,NY,MIL,614,-900,227.0,113-124
43,18/10/22,CHI,DAL,170,-200,229.0,109-115
44,18/10/22,MEM,UTA,506,-700,213.5,92-84
45,18/10/22,WAS,POR,160,-185,228.0,125-124
46,18/10/22,SA,LAL,110,-130,226.5,143-142
47,18/10/22,PHO,GS,797,-1300,227.5,103-123
48,18/10/23,PHI,DET,-120,100,214.5,132-133
49,18/10/23,LAC,NO,203,-245,237.5,109-116
50,18/10/23,SAC,DEN,614,-900,229.5,112-126
51,18/10/24,BKN,CLE,125,-145,226.0,102-86
52,18/10/24,DAL,ATL,-130,110,235.5,104-111
53,18/10/24,NY,MIA,300,-400,218.0,87-110
54,18/10/24,MIN,TOR,325,-425,226.5,105-112
55,18/10/24,CHA,CHI,-200,170,229.5,110-112
56,18/10/24,UTA,HOU,-105,-115,217.5,100-89
57,18/10/24,IND,SA,105,-125,210.5,116-96
58,18/10/24,PHI,MIL,180,-220,228.5,108-123
59,18/10/24,LAL,PHO,-230,185,238.0,131-113
60,18/10/24,MEM,SAC,-140,120,220.5,92-97
61,18/10/24,WAS,GS,450,-650,235.5,122-144
62,18/10/25,CLE,DET,375,-500,216.5,103-110
63,18/10/25,POR,ORL,-170,145,213.5,128-114
64,18/10/25,BOS,OKC,-110,-110,219.0,101-95
65,18/10/25,DEN,LAL,-120,100,235.0,114-121
66,18/10/26,CHI,CHA,450,-650,223.0,106-135
67,18/10/26,DAL,TOR,650,-1000,221.5,107-116
68,18/10/26,GS,NY,-1000,650,225.0,128-100
69,18/10/26,BKN,NO,375,-500,231.5,115-117
70,18/10/26,LAC,HOU,150,-180,217.5,133-113
71,18/10/26,MIL,MIN,-130,110,233.0,125-95
72,18/10/26,WAS,SAC,-240,190,236.0,112-116
73,18/10/27,BOS,DET,-160,140,212.0,109-89
74,18/10/27,UTA,NO,-260,210,220.5,132-111
75,18/10/27,CHA,PHI,230,-280,232.5,103-105
76,18/10/27,CHI,ATL,190,-240,232.5,97-85
77,18/10/27,IND,CLE,-350,275,213.5,119-107
78,18/10/27,POR,MIA,105,-125,220.5,111-120
79,18/10/27,PHO,MEM,275,-350,207.0,96-117
80,18/10/27,LAL,SA,-115,-105,232.5,106-110
