,Date,Visit,Home,V_Odd,H_Odd,OU,Score
111,21/11/03,NY,IND,-105,-115,216.0,98-111
112,21/11/03,ATL,BKN,165,-185,221.0,108-117
113,21/11/03,DEN,MEM,-125,105,215.5,106-108
114,21/11/03,LAC,MIN,-140,120,212.5,126-115
115,21/11/03,DAL,SA,-130,110,217.0,109-108
116,21/11/03,NO,SAC,190,-220,219.0,99-112
117,21/11/03,CHA,GS,200,-240,226.5,92-114
118,21/11/04,PHI,DET,-190,170,207.5,109-98
119,21/11/04,UTA,ATL,-120,100,218.5,116-98
120,21/11/04,BOS,MIA,225,-265,213.5,95-78
121,21/11/04,HOU,PHO,500,-700,220.0,111-123
122,21/11/04,OKC,LAL,475,-650,214.0,107-104
123,21/11/05,SA,ORL,-170,150,213.0,102-89
124,21/11/05,BKN,DET,-500,400,210.5,96-90
125,21/11/05,MEM,WAS,120,-140,220.5,87-115
126,21/11/05,NY,MIL,145,-165,217.0,113-98
127,21/11/05,CLE,TOR,195,-230,204.0,102-101
128,21/11/05,LAC,MIN,-140,120,215.5,104-84
129,21/11/05,NO,GS,390,-480,213.5,85-126
130,21/11/05,CHA,SAC,115,-135,232.0,110-140
131,21/11/05,IND,POR,180,-210,222.5,106-110
132,21/11/06,HOU,DEN,500,-700,215.0,94-95
133,21/11/06,UTA,MIA,-110,-110,212.0,115-118
134,21/11/06,PHI,CHI,150,-170,215.0,114-105
135,21/11/06,BOS,DAL,140,-160,211.0,104-107
136,21/11/06,ATL,PHO,145,-165,222.0,117-121
137,21/11/06,LAL,POR,180,-205,223.5,90-105
138,21/11/07,BKN,TOR,-155,135,210.0,116-103
139,21/11/07,IND,SAC,120,-140,225.0,94-91
140,21/11/07,CLE,NY,260,-310,207.5,126-109
141,21/11/07,UTA,ORL,-700,500,211.0,100-107
142,21/11/07,MIL,WAS,-115,-105,219.5,94-101
143,21/11/07,SA,OKC,-165,145,213.5,94-99
144,21/11/07,HOU,GS,650,-1000,218.5,107-120
145,21/11/07,CHA,LAC,210,-250,224.5,106-120
146,21/11/08,NY,PHI,-125,105,213.5,103-96
147,21/11/08,BKN,CHI,100,-120,216.5,95-118
148,21/11/08,MIN,MEM,165,-185,221.0,118-125
149,21/11/08,NO,DAL,330,-400,210.5,92-108
150,21/11/08,MIA,DEN,-125,105,203.0,96-113
