,Date,Visit,Home,V_Odd,H_Odd,OU,Score
0,19/10/22,NO,TOR,230,-280,229.5,122-130
1,19/10/22,LAL,LAC,-180,150,224.0,102-112
2,19/10/23,DET,IND,240,-300,211.0,119-110
3,19/10/23,CLE,ORL,400,-550,211.5,85-94
4,19/10/23,CHI,CHA,-170,145,216.5,125-126
5,19/10/23,BOS,PHI,190,-240,214.5,93-107
6,19/10/23,MEM,MIA,240,-300,213.0,101-120
7,19/10/23,MIN,BKN,142,-165,229.0,127-126
8,19/10/23,NY,SA,525,-750,214.5,111-120
9,19/10/23,WAS,DAL,350,-450,220.0,100-108
10,19/10/23,OKC,UTA,375,-500,221.5,95-100
11,19/10/23,SAC,PHO,-115,-105,232.5,95-124
12,19/10/23,DEN,POR,-120,100,217.5,108-100
13,19/10/24,ATL,DET,105,-125,221.5,117-100
14,19/10/24,MIL,HOU,100,-120,231.0,117-111
15,19/10/24,LAC,GS,-110,-110,229.5,141-122
16,19/10/25,TOR,BOS,120,-140,213.0,106-112
17,19/10/25,MIN,CHA,-220,180,225.0,121-99
18,19/10/25,NY,BKN,280,-360,228.0,109-113
19,19/10/25,WAS,OKC,300,-400,218.0,97-85
20,19/10/25,DAL,NO,110,-130,227.0,123-116
21,19/10/25,CHI,MEM,-125,105,224.0,110-102
22,19/10/25,PHO,DEN,650,-1000,219.5,107-108
23,19/10/25,POR,SAC,-120,100,227.5,122-112
24,19/10/25,UTA,LAL,140,-160,215.5,86-95
25,19/10/26,MIA,MIL,550,-800,223.0,131-126
26,19/10/26,PHI,DET,-190,160,213.0,117-111
27,19/10/26,BOS,NY,-240,190,218.5,118-95
28,19/10/26,ORL,ATL,-135,115,216.5,99-103
29,19/10/26,IND,CLE,-190,160,213.0,99-110
30,19/10/26,TOR,CHI,-155,135,219.5,108-84
31,19/10/26,NO,HOU,650,-1000,238.5,123-126
32,19/10/26,WAS,SA,650,-1000,219.5,122-124
33,19/10/26,SAC,UTA,350,-450,221.5,81-113
34,19/10/26,LAC,PHO,-550,400,225.5,122-130
35,19/10/27,GS,OKC,100,-120,224.0,92-120
36,19/10/27,BKN,MEM,-180,150,224.0,133-134
37,19/10/27,MIA,MIN,240,-300,224.0,109-116
38,19/10/27,POR,DAL,125,-145,219.0,121-119
39,19/10/27,CHA,LAL,800,-1400,216.5,101-120
40,19/10/28,IND,DET,-130,110,213.0,94-96
41,19/10/28,CHI,NY,-135,115,224.0,98-105
42,19/10/28,PHI,ATL,-280,230,221.0,105-103
43,19/10/28,ORL,TOR,175,-210,209.0,95-104
44,19/10/28,GS,NO,120,-140,235.5,134-123
45,19/10/28,CLE,MIL,1200,-3000,224.5,112-129
46,19/10/28,OKC,HOU,425,-600,228.0,112-116
47,19/10/28,POR,SA,200,-250,223.0,110-113
48,19/10/28,UTA,PHO,-190,160,213.5,96-95
49,19/10/28,DEN,SAC,-220,180,218.0,101-94
50,19/10/28,CHA,LAC,1200,-3000,228.0,96-111
51,19/10/29,ATL,MIA,300,-400,223.0,97-112
52,19/10/29,DAL,DEN,185,-230,212.5,109-106
53,19/10/29,MEM,LAL,575,-850,215.0,91-120
54,19/10/30,NY,ORL,375,-500,209.5,83-95
55,19/10/30,MIN,PHI,250,-310,222.5,95-117
56,19/10/30,CHI,CLE,-130,110,216.5,111-117
57,19/10/30,DET,TOR,375,-500,214.0,113-125
58,19/10/30,IND,BKN,130,-150,220.5,118-108
59,19/10/30,MIL,BOS,-165,142,224.0,105-116
60,19/10/30,HOU,WAS,-350,275,234.0,159-158
61,19/10/30,POR,OKC,-120,100,221.5,102-99
62,19/10/30,CHA,SAC,275,-350,223.5,118-111
63,19/10/30,LAC,UTA,230,-280,216.5,96-110
64,19/10/30,PHO,GS,185,-230,230.5,121-110
65,19/10/31,MIA,ATL,-270,220,215.5,106-97
66,19/10/31,DEN,NO,-180,150,223.5,107-122
67,19/10/31,SA,LAC,170,-200,229.0,97-103
68,19/11/01,HOU,BKN,-190,160,244.0,116-123
69,19/11/01,MIL,ORL,-190,160,215.0,123-91
70,19/11/01,CLE,IND,260,-330,215.0,95-102
71,19/11/01,NY,BOS,500,-700,212.0,102-104
72,19/11/01,DET,CHI,142,-165,216.0,106-112
73,19/11/01,LAL,DAL,-125,105,217.0,119-110
74,19/11/01,UTA,SAC,-210,175,214.0,101-102
75,19/11/01,SA,GS,-300,240,223.0,127-110
76,19/11/02,NO,OKC,110,-130,228.0,104-115
77,19/11/02,BKN,DET,-180,150,222.5,109-113
78,19/11/02,DEN,ORL,-180,150,199.5,91-87
79,19/11/02,PHO,MEM,-150,130,221.5,114-105
80,19/11/02,MIN,WAS,130,-150,229.5,131-109
81,19/11/02,TOR,MIL,210,-260,226.5,105-115
82,19/11/02,CHA,GS,-255,205,221.0,93-87
83,19/11/02,PHI,POR,-105,-115,223.5,129-128
84,19/11/03,CHI,IND,110,-130,217.0,95-108
85,19/11/03,HOU,MIA,-155,135,233.5,100-129
86,19/11/03,SAC,NY,-115,-105,213.5,113-92
87,19/11/03,LAL,SA,-120,100,217.5,103-96
88,19/11/03,DAL,CLE,-220,180,218.5,131-111
89,19/11/03,UTA,LAC,170,-200,214.0,94-105
90,19/11/04,DET,WAS,150,-180,225.5,99-115
91,19/11/04,NO,BKN,145,-170,238.5,125-135
92,19/11/04,MIL,MIN,-330,260,229.5,134-106
93,19/11/04,HOU,MEM,-240,190,230.0,107-100
94,19/11/04,PHI,PHO,-110,-110,224.0,109-114
95,19/11/04,POR,GS,-900,600,220.0,118-127
96,19/11/05,BOS,CLE,-260,210,215.5,119-113
97,19/11/05,IND,CHA,-135,115,212.5,120-122
98,19/11/05,SA,ATL,-240,190,222.5,100-108
99,19/11/05,ORL,OKC,125,-145,201.0,94-102
100,19/11/05,LAL,CHI,-310,250,215.5,118-112
101,19/11/05,MIA,DEN,180,-220,211.0,89-109
102,19/11/06,NY,DET,142,-165,206.0,102-122
103,19/11/06,WAS,IND,130,-150,227.0,106-121
104,19/11/06,SAC,TOR,275,-350,219.0,120-124
105,19/11/06,GS,HOU,1100,-2500,229.0,112-129
106,19/11/06,CHI,ATL,-110,-110,221.5,113-93
107,19/11/06,MIN,MEM,-170,145,224.5,121-137
108,19/11/06,ORL,DAL,250,-310,207.5,106-107
109,19/11/06,PHI,UTA,130,-150,209.0,104-106
110,19/11/06,MIL,LAC,-270,220,228.5,129-124
111,19/11/07,BOS,CHA,-310,250,214.5,108-87
112,19/11/07,OKC,SA,170,-200,211.5,112-121
113,19/11/07,MIA,PHO,110,-130,220.0,124-108
114,19/11/07,POR,LAC,190,-240,231.0,101-107
115,19/11/08,DET,IND,210,-260,210.0,106-112
116,19/11/08,CLE,WAS,160,-190,233.0,113-100
117,19/11/08,MEM,ORL,260,-330,208.5,86-118
118,19/11/08,SAC,ATL,-150,130,225.5,121-109
119,19/11/08,GS,MIN,525,-750,228.5,119-125
120,19/11/08,TOR,NO,-135,115,232.5,122-104
121,19/11/08,NY,DAL,500,-700,215.5,106-102
122,19/11/08,MIL,UTA,-135,115,217.5,100-103
123,19/11/08,PHI,DEN,180,-220,211.5,97-100
124,19/11/08,BKN,POR,145,-170,239.5,119-115
125,19/11/08,MIA,LAL,325,-425,218.0,80-95
126,19/11/09,BOS,SA,105,-125,218.5,135-115
127,19/11/09,NO,CHA,-125,105,232.0,115-110
128,19/11/09,GS,OKC,600,-900,216.0,108-114
129,19/11/09,DAL,MEM,-240,190,222.0,138-122
130,19/11/09,HOU,CHI,-275,225,234.0,117-94
131,19/11/10,DEN,MIN,-180,150,219.0,100-98
132,19/11/10,IND,ORL,170,-200,202.5,109-102
133,19/11/10,CHA,PHI,750,-1200,213.5,106-114
134,19/11/10,MIL,OKC,-425,325,219.5,121-119
135,19/11/10,CLE,NY,110,-130,213.0,108-87
136,19/11/10,BKN,PHO,130,-150,231.5,112-138
137,19/11/10,ATL,POR,325,-425,226.0,113-124
138,19/11/10,TOR,LAL,450,-650,210.5,113-104
139,19/11/11,MIN,DET,155,-185,223.5,120-114
140,19/11/11,DAL,BOS,125,-145,220.0,106-116
141,19/11/11,MEM,SA,450,-650,224.0,113-109
142,19/11/11,HOU,NO,-350,275,242.5,122-116
143,19/11/11,UTA,GS,-400,300,211.5,122-108
144,19/11/11,TOR,LAC,375,-500,221.5,88-98
145,19/11/12,CLE,PHI,525,-750,220.5,97-98
146,19/11/12,OKC,IND,100,-120,212.5,85-111
147,19/11/12,DET,MIA,300,-400,215.0,108-117
148,19/11/12,NY,CHI,225,-275,212.0,102-120
149,19/11/12,LAL,PHO,-165,142,221.0,123-115
150,19/11/12,ATL,DEN,450,-650,209.5,125-121
151,19/11/12,BKN,UTA,240,-300,220.0,114-119
152,19/11/12,POR,SAC,-125,105,222.5,99-107
153,19/11/13,PHI,ORL,110,-130,207.5,97-112
154,19/11/13,MEM,CHA,120,-140,221.0,119-117
155,19/11/13,LAC,HOU,115,-135,233.5,93-102
156,19/11/13,WAS,BOS,250,-310,230.0,133-140
157,19/11/13,SA,MIN,100,-120,228.5,114-129
158,19/11/13,TOR,POR,140,-160,218.5,114-106
159,19/11/13,GS,LAL,350,-450,219.0,94-120
160,19/11/14,MIA,CLE,-200,170,215.0,108-97
161,19/11/14,CHI,MIL,550,-800,228.5,115-124
162,19/11/14,DAL,NY,-340,270,214.5,103-106
163,19/11/14,LAC,NO,-190,160,233.0,127-132
164,19/11/14,ATL,PHO,270,-340,229.5,112-128
165,19/11/14,BKN,DEN,275,-350,222.5,93-101
166,19/11/15,DET,CHA,-180,150,220.5,106-109
167,19/11/15,SA,ORL,125,-145,211.0,109-111
168,19/11/15,WAS,MIN,200,-250,239.5,137-116
169,19/11/15,IND,HOU,210,-260,226.5,102-111
170,19/11/15,PHI,OKC,-160,140,214.5,119-127
171,19/11/15,UTA,MEM,-350,275,215.0,106-107
172,19/11/15,BOS,GS,-310,250,223.0,105-100
173,19/11/15,SAC,LAL,425,-600,214.0,97-99
174,19/11/16,BKN,CHI,150,-180,225.0,117-111
175,19/11/16,MIL,IND,-330,260,220.0,102-83
176,19/11/16,CHA,NY,150,-180,213.0,103-102
177,19/11/16,HOU,MIN,115,-135,231.5,125-105
178,19/11/16,NO,MIA,260,-330,226.5,94-109
179,19/11/16,TOR,DAL,155,-185,218.0,102-110
180,19/11/16,POR,SA,110,-130,226.0,121-116
181,19/11/16,ATL,LAC,375,-500,224.0,101-150
182,19/11/17,PHI,CLE,-310,250,216.0,114-95
183,19/11/17,BOS,SAC,-145,125,215.0,99-100
184,19/11/17,DEN,MEM,-275,225,215.0,131-114
185,19/11/17,WAS,ORL,190,-240,226.0,121-125
186,19/11/17,GS,NO,140,-160,226.5,100-108
187,19/11/17,ATL,LAL,900,-1600,220.5,101-122
188,19/11/18,CLE,NY,190,-240,210.0,105-123
189,19/11/18,IND,BKN,120,-140,214.0,115-86
190,19/11/18,CHA,TOR,300,-400,214.5,96-132
191,19/11/18,MIL,CHI,-400,300,231.0,115-101
192,19/11/18,POR,HOU,250,-310,231.0,108-132
193,19/11/18,SA,DAL,170,-200,224.0,110-117
194,19/11/18,MIN,UTA,375,-500,219.5,112-102
195,19/11/18,BOS,PHO,115,-135,226.0,99-85
196,19/11/18,OKC,LAC,300,-400,221.5,88-90
197,19/11/19,POR,NO,140,-160,231.5,104-115
198,19/11/19,GS,MEM,210,-260,221.5,114-95
199,19/11/19,PHO,SAC,135,-155,219.0,116-120
200,19/11/19,OKC,LAL,500,-700,209.5,107-112
201,19/11/20,NY,PHI,600,-900,210.5,104-109
202,19/11/20,SA,WAS,-130,110,237.5,132-138
203,19/11/20,CLE,MIA,375,-500,213.5,100-124
204,19/11/20,MIL,ATL,-700,500,232.0,135-127
205,19/11/20,GS,DAL,900,-1600,216.0,94-142
206,19/11/20,CHA,BKN,160,-190,219.0,91-101
207,19/11/20,ORL,TOR,130,-150,207.0,97-113
208,19/11/20,DET,CHI,-115,-105,222.5,89-109
209,19/11/20,UTA,MIN,-150,130,222.0,103-95
210,19/11/20,HOU,DEN,105,-125,221.5,95-105
211,19/11/20,BOS,LAC,240,-300,217.0,104-107
212,19/11/21,POR,MIL,750,-1200,228.5,129-137
213,19/11/21,NO,PHO,135,-155,234.0,124-121
214,19/11/22,ATL,DET,215,-265,226.5,103-128
215,19/11/22,CHA,WAS,200,-250,234.5,118-125
216,19/11/22,SAC,BKN,115,-135,214.0,97-116
217,19/11/22,SA,PHI,240,-300,221.0,104-115
218,19/11/22,MIA,CHI,-190,160,217.0,116-108
